Time,Magnet_72_0_x,Magnet_72_0_y,Magnet_72_0_z,Magnet_72_1_x,Magnet_72_1_y,Magnet_72_1_z,Magnet_72_2_x,Magnet_72_2_y,Magnet_72_2_z,Magnet_72_3_x,Magnet_72_3_y,Magnet_72_3_z,Magnet_72_4_x,Magnet_72_4_y,Magnet_72_4_z,Magnet_72_5_x,Magnet_72_5_y,Magnet_72_5_z,Magnet_72_6_x,Magnet_72_6_y,Magnet_72_6_z,Magnet_72_7_x,Magnet_72_7_y,Magnet_72_7_z,Magnet_72_8_x,Magnet_72_8_y,Magnet_72_8_z,Magnet_72_9_x,Magnet_72_9_y,Magnet_72_9_z,Magnet_72_10_x,Magnet_72_10_y,Magnet_72_10_z,Magnet_72_11_x,Magnet_72_11_y,Magnet_72_11_z,Magnet_72_12_x,Magnet_72_12_y,Magnet_72_12_z,
0,0.141,0.99,0,0.99,0.141,0,0.99,0.141,0,0.99,0.141,0,0.141,0.99,0,0.99,0.141,0,0.141,-0.99,0,0.99,0.141,0,0.99,0.141,0,0.99,0.141,0,0.99,0.141,0,0.99,0.141,0,0.99,0.141,0,
0.1,0.118891,0.9919,0.0447053,-0.805792,0.591964,-0.0166919,0.39729,0.902091,-0.168501,0.810121,-0.527198,0.256448,0.207401,0.97605,-0.0656517,-0.755442,0.642069,-0.130594,0.0443055,-0.996721,-0.0677,0.798292,0.589186,-0.124857,0.912633,0.402868,-0.0692697,0.988876,-0.135136,0.0621525,0.996548,0.0812399,-0.0170994,0.993923,0.108422,0.0190162,0.996562,0.0826507,-0.0058108,
0.2,-0.00191958,0.9988,0.0489349,0.37011,0.86977,-0.326371,-0.309014,0.950605,0.0293391,-0.0309711,-0.98435,-0.173479,-0.125911,0.988071,0.0886663,0.743541,0.650029,-0.156873,-0.110862,-0.992619,-0.0491644,-0.108132,0.993576,0.0333805,-0.147479,0.988733,-0.0256323,0.221854,-0.96698,0.125421,0.997868,0.0593759,-0.0271079,0.994386,0.105395,0.00934656,0.999253,0.0382534,-0.00552602,
0.3,-0.0413084,0.999137,0.00424105,0.57567,0.817362,0.0228736,0.406914,0.909812,-0.0816225,0.486304,-0.872536,0.0467944,0.00925659,0.999895,-0.0111128,0.344402,0.904484,0.251587,-0.116428,-0.99319,0.00428984,0.667354,0.743304,0.046223,0.734931,0.67405,0.0743835,0.957216,-0.263809,-0.118918,0.998907,-0.0260191,0.0388197,0.998067,0.0604569,-0.0143753,0.99981,0.0193872,-0.00184406,
0.4,0.00816653,0.999732,-0.0216558,0.267358,0.946502,0.180701,0.251668,0.967812,-0.00181174,0.367405,-0.929304,-0.0375189,-0.00503325,0.999948,0.00891084,-0.168332,0.975494,0.141689,-0.0512474,-0.99847,0.0207838,0.210102,0.975835,0.06003,0.441482,0.89116,-0.104534,0.990545,-0.100325,0.0935668,0.998756,0.0474645,0.0152839,0.999929,-0.00200907,-0.011749,0.999926,0.0117599,-0.00322414,
0.5,0.0553586,0.998351,-0.0151988,0.014662,0.989427,0.144288,0.296403,0.955009,-0.0101467,0.387595,-0.921828,0.00190304,0.0304777,0.999414,-0.0155574,-0.106995,0.992068,-0.0659781,-0.0225608,-0.999702,0.00935641,0.234773,0.97157,-0.0305373,0.357006,0.931313,-0.072134,0.45619,-0.881481,-0.121996,0.985447,0.168436,-0.0228847,0.999952,0.00631468,0.00752415,0.999986,0.00390442,-0.00360739,
0.6,0.0634701,0.99798,0.00263648,-0.0416587,0.997896,0.0496732,0.351321,0.935126,0.0459657,0.401486,-0.915132,-0.0366362,0.0644395,0.997886,-0.00846646,0.184119,0.975551,-0.120004,-0.0314288,-0.999506,-0.000766214,0.397888,0.917108,0.0244433,0.619392,0.785075,0.00327596,0.681787,-0.731155,0.0240685,0.998475,-0.0419076,-0.0359363,0.998584,0.0530669,-0.00366449,0.999997,0.00241428,-0.000382171,
0.7,0.0432859,0.998962,0.0141585,0.0241703,0.999515,-0.0196269,0.326055,0.945209,-0.0163786,0.471091,-0.881357,0.0358351,0.129471,0.991238,-0.0261707,0.353137,0.934419,-0.0464311,-0.0431495,-0.999067,-0.00169462,0.272514,0.961604,-0.0324518,0.381616,0.923835,0.0299701,0.604636,-0.79608,0.0259216,0.999506,0.0189983,0.0250283,0.999705,0.00189331,-0.0241956,0.999922,0.0121214,-0.00292293,
0.8,0.0182594,0.999751,0.0128069,0.132699,0.990031,-0.0472166,0.423862,0.905352,0.0260415,0.522481,-0.851046,-0.0522928,0.143729,0.989487,0.016062,0.343249,0.938868,0.0265818,-0.0440534,-0.999029,0.000978337,0.404148,0.914628,-0.0109299,0.433685,0.900583,0.0294549,0.707583,-0.706604,0.00608723,0.994071,0.108734,0.000496187,0.999131,-0.0414957,-0.00387663,0.999939,-0.00427491,-0.0101939,
0.9,0.00682711,0.999968,0.00423792,0.224804,0.973639,-0.0386066,0.451924,0.891938,-0.0145126,0.502367,-0.864426,0.0198703,0.127298,0.991833,-0.00787033,0.265651,0.962757,0.0502886,-0.0397806,-0.999208,0.000547857,0.433898,0.900888,-0.0115532,0.415447,0.909604,-0.00501936,0.693097,-0.720844,-0.00101192,0.999374,0.0335758,-0.011187,0.999968,-0.00426778,0.006745,0.999595,-0.028365,-0.00247904,
1,0.0106914,0.999933,-0.00451815,0.275193,0.96125,-0.0163324,0.499953,0.865869,0.0178151,0.591875,-0.805823,-0.0182469,0.162074,0.986775,0.00268834,0.225402,0.974006,0.0225006,-0.0399803,-0.9992,-0.00137262,0.415315,0.909225,0.0286927,0.419996,0.907488,-0.0082674,0.653583,-0.756821,-0.00713566,0.998047,0.0618955,0.00839417,0.999993,-0.00382339,-0.000505065,0.99992,-0.010221,0.00741738,
