Time,i0_x,i0_y,i0_z,mag1_x,mag1_y,mag1_z,mag2_x,mag2_y,mag2_z,
0,0.1411,0.99,0,0.99,0.141,0,0.99,0.141,0,
0.0101,0.172439,0.983385,0.0567253,0.990797,0.135025,0.00942322,0.989341,0.145304,-0.00953444,
0.0202,0.252036,0.962603,0.0993618,0.992838,0.117775,0.0200539,0.987358,0.157261,-0.0198128,
0.0303,0.359733,0.925141,0.121267,0.99553,0.0884774,0.0330298,0.983513,0.178002,-0.0319041,
0.0404,0.472068,0.873173,0.121333,0.99775,0.0458186,0.0489544,0.976671,0.209541,-0.0469761,
0.0505,0.56983,0.815257,0.103194,0.997603,-0.011877,0.0681655,0.964733,0.254743,-0.0663014,
0.0606,0.642144,0.763147,0.0725086,0.99207,-0.086576,0.0911088,0.943997,0.317108,-0.0911712,
0.0707,0.685296,0.727457,0.0342895,0.976418,-0.180431,0.118545,0.908236,0.400092,-0.12261,
0.0808,0.698784,0.715285,-0.00829131,0.943335,-0.295285,0.151414,0.847767,0.505445,-0.160672,
0.0909,0.681634,0.729719,-0.0537166,0.881968,-0.431215,0.190225,0.749558,0.630016,-0.203085,
0.101,0.630323,0.769705,-0.101234,0.777777,-0.583444,0.233786,0.600805,0.761407,-0.243501,
0.1111,0.538604,0.829164,-0.149644,0.615606,-0.737702,0.277174,0.398254,0.876276,-0.271172,
0.1212,0.399863,0.895422,-0.195779,0.389287,-0.867356,0.31008,0.159032,0.948184,-0.275055,
0.1313,0.21301,0.948843,-0.233074,0.115728,-0.940605,0.319171,-0.080808,0.96451,-0.251378,
0.1414,-0.00931806,0.967661,-0.252083,-0.1624,-0.941076,0.296652,-0.285253,0.935932,-0.206546,
0.1515,-0.237987,0.93982,-0.245155,-0.39875,-0.883148,0.247078,-0.43579,0.887211,-0.15147,
0.1616,-0.43858,0.873246,-0.212341,-0.56937,-0.801482,0.182876,-0.531561,0.841694,-0.094835,
0.1717,-0.588879,0.791951,-0.161354,-0.675083,-0.728731,0.114953,-0.579781,0.813727,-0.0412613,
0.1818,-0.684671,0.721742,-0.101557,-0.727248,-0.684643,0.0487281,-0.588133,0.808731,0.00727108,
