Time,i0_x,i0_y,i0_z,mag1_x,mag1_y,mag1_z,mag2_x,mag2_y,mag2_z,mag3_x,mag3_y,mag3_z,mag4_x,mag4_y,mag4_z,mag5_x,mag5_y,mag5_z,mag6_x,mag6_y,mag6_z,mag7_x,mag7_y,mag7_z,mag8_x,mag8_y,mag8_z,mag9_x,mag9_y,mag9_z,o0_x,o0_y,o0_z,
0,0.1411,0.99,0,0.99,0.141,0,0.99,0.141,0,0.99,0.141,0,0.99,0.141,0,0.99,0.141,0,0.99,0.141,0,0.99,0.141,0,0.99,0.141,0,0.99,0.141,0,0.1411,-0.99,0,
0.0101,0.176347,0.982344,0.0624578,0.991172,0.131865,0.013736,0.990774,0.135237,0.00884213,0.990687,0.135927,0.00791994,0.990666,0.136094,0.0076848,0.990626,0.136414,0.0071405,0.990682,0.136053,0.00614563,0.992875,0.112743,0.0385904,0.992596,0.116481,0.0344412,0.98944,0.14473,0.00779149,0.308373,-0.900791,-0.305748,
0.0202,0.265695,0.95786,0.109131,0.993985,0.105814,0.0282289,0.992697,0.11946,0.0167825,0.992395,0.122183,0.0149315,0.992314,0.122909,0.0143802,0.992171,0.124177,0.0132731,0.992295,0.123448,0.0105838,0.997178,0.0434973,0.0611875,0.996904,0.0552112,0.0559883,0.988747,0.147835,0.0228946,0.637711,-0.590176,-0.494992,
0.0303,0.385678,0.913043,0.132682,0.997062,0.0625618,0.0442057,0.995215,0.0948822,0.0233302,0.994666,0.101075,0.020588,0.994502,0.102851,0.0196793,0.994224,0.105797,0.0180192,0.994228,0.106547,0.0126183,0.997309,-0.0404569,0.0611401,0.998025,-0.0223789,0.058705,0.990144,0.131931,0.0470104,0.835542,-0.0736558,-0.544467,
0.0404,0.509219,0.85043,0.132157,0.998106,0.00186167,0.0614973,0.997604,0.0632919,0.0279319,0.996928,0.0743894,0.0245181,0.996702,0.0777208,0.0233195,0.996313,0.0831271,0.021219,0.99593,0.0892997,0.0122151,0.993236,-0.10908,0.0398049,0.994922,-0.091236,0.0425065,0.993818,0.0835941,0.0730604,0.748837,0.458153,-0.478894,
0.0505,0.614904,0.780614,0.111963,0.993955,-0.0758703,0.0793558,0.99918,0.0271166,0.0300616,0.998668,0.0442947,0.026471,0.998455,0.0495298,0.0252055,0.99805,0.0580535,0.0229383,0.997129,0.0750591,0.00998466,0.990196,-0.139567,0.00572349,0.991419,-0.13006,0.013155,0.995878,0.00327144,0.0906442,0.504866,0.808003,-0.303712,
0.0606,0.691643,0.717958,0.0785281,0.980818,-0.169153,0.0968702,0.999512,-0.0106702,0.0293441,0.999566,0.0131763,0.0263506,0.999471,0.0202981,0.0253996,0.999207,0.0321826,0.0234333,0.997819,0.065637,0.00694244,0.991901,-0.123707,-0.0287835,0.991556,-0.128134,-0.0199635,0.990799,-0.0983544,0.0929669,0.361898,0.930973,-0.0481493,
0.0707,0.736658,0.675238,0.0372575,0.954709,-0.275208,0.113096,0.998575,-0.0467963,0.0256553,0.999569,-0.0165647,0.0242265,0.999677,-0.00812262,0.0240815,0.999712,0.00666956,0.0230518,0.998129,0.0610063,0.00412903,0.996249,-0.0690718,-0.0521241,0.995089,-0.0871304,-0.0469747,0.976246,-0.203125,0.0753886,0.452476,0.867998,0.20456,
0.0808,0.750341,0.660996,-0.00852076,0.912161,-0.389709,0.126841,0.996767,-0.0780229,0.0191741,0.998881,-0.042712,0.020321,0.999185,-0.034161,0.0215009,0.999598,-0.0177729,0.0221008,0.998215,0.0596864,0.00221992,0.998354,0.00449795,-0.0571683,0.997997,-0.0193415,-0.0602338,0.958579,-0.282845,0.0335342,0.692104,0.617695,0.373424,
0.0909,0.731872,0.679066,-0.0568604,0.851342,-0.506569,0.136402,0.994784,-0.101478,0.0103751,0.997876,-0.0634005,0.0149804,0.998237,-0.0565749,0.0179396,0.998954,-0.0407321,0.0207681,0.998223,0.0595818,0.00130548,0.996483,0.0718021,-0.0431896,0.996859,0.0558812,-0.0561119,0.952133,-0.304322,-0.0288317,0.878234,0.203188,0.432919,
